OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,X,Y
211981885,67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,402515.2205,133914.8189
211981886,68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,400277.1106,135456.8754
211981887,69,14th St & New York Ave NW,31216,38.899632,-77.031686,397251.4198,136864.9275
211981888,70,Benning Branch Library,31705,38.894,-76.947974,404513.3156,136240.5398
211981889,71,USDA / 12th & C St SW,31217,38.886277,-77.028242,397549.7085,135382.3194
211981890,72,Georgetown Harbor / 30th St NW,31215,38.902221,-77.059219,394863.2754,137153.5164
211981891,73,12th & Newton St NE,31501,38.933668,-76.991016,400778.9391,140642.7692
211981892,74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,395958.5759,136342.3012
211981893,75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,398070.3583,135380.9543
211981894,76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,397743.3113,136131.6756
211981895,77,Kennedy Center,31211,38.897293,-77.05557,395179.4608,136606.2701
211981896,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,400399.3716,135129.1858
211981897,79,18th & M St NW,31221,38.905067,-77.041779,396376.1856,137468.6086
211981898,80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,393118.6949,142193.0751
211981899,81,13th & H St NE,31611,38.900022,-76.988422,401004.3202,136907.8073
211981900,82,5th & F St NW,31620,38.897222,-77.019347,398321.7011,136597.0991
211981901,83,New York Ave & 15th St NW,31222,38.899032,-77.033354,397106.7059,136798.3743
211981902,84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,398068.3695,137542.3904
211981903,85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,396240.4292,140000.2176
211981904,86,19th & L St NW,31224,38.903407,-77.043648,396213.9848,137284.411
211981905,87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,394562.3134,137323.4488
211981906,88,Maine Ave & 7th St SW,31609,38.878694,-77.023054,397999.6097,134540.4217
211981907,89,D St & Maryland Ave NE,31612,38.894758,-76.997114,400250.3612,136323.4017
211981908,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,394085.4325,138732.7073
211981909,92,8th & H St NW,31228,38.8997,-77.023086,397997.4227,136872.2523
211981910,93,10th & Monroe St NE,31504,38.932514,-76.992889,400616.5545,140514.6508
211981911,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,399570.6839,138123.2943
211981912,95,6th & H St NE,31615,38.899972,-76.998347,400143.3877,136902.1946
211981913,96,3rd & H St NE,31616,38.900412,-77.001949,399830.9372,136951.0386
211981914,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,401485.7403,136951.2872
211981915,98,4th & East Capitol St NE,31618,38.889955,-77.000349,399969.7221,135790.227
211981916,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,401010.2674,135846.4614
211981917,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,403479.9307,133487.0282
211981918,101,13th & D St NE,31622,38.894832,-76.987633,401072.8391,136331.685
211981919,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,396688.8408,138631.0609
211981920,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,397582.4798,136724.0614
211981921,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,397257.2084,136296.7868
211981922,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,396116.0948,137894.7812
